Company Name,Filed Date,Form Type,State,CIK,Category
Boumarang Inc.  (CIK 0002034161),2026-05-06,N/A,['DE'],N/A,Software/Tech
Little West Holdings Inc.  (LILW)  (CIK 0002065821),2026-04-07,N/A,['NV'],N/A,Software/Tech
VIDA Global Inc.  (VIDA)  (CIK 0001973062),2026-04-17,N/A,['DE'],N/A,Software/Tech
AMASS BRANDS  (CIK 0001851491),2026-04-09,N/A,['DE'],N/A,Software/Tech
Avalyn Pharma Inc.  (CIK 0001540171),2026-04-08,N/A,['DE'],N/A,Software/Tech
"OLB GROUP, INC.  (OLB)  (CIK 0001314196)",2026-04-16,N/A,['DE'],N/A,Software/Tech
"CapsoVision, Inc  (CV)  (CIK 0001378325)",2026-04-17,N/A,['DE'],N/A,Software/Tech
"Merlin, Inc.  (MRLN)  (CIK 0002028707)",2026-04-15,N/A,['E9'],N/A,Software/Tech
"Ealixir, Inc.  (EAXR)  (CIK 0000832370)",2026-05-01,N/A,[],N/A,Software/Tech
"SUJA LIFE, INC.  (CIK 0001934114)",2026-04-10,N/A,[],N/A,Software/Tech
Kraneshares Crypto Trust  (CIK 0002073505),2026-05-06,N/A,['DE'],N/A,Software/Tech
21Shares Hyperliquid ETF  (CIK 0002090011),2026-04-28,N/A,['DE'],N/A,Software/Tech
"SUJA LIFE, INC.  (SUJA)  (CIK 0001934114)",2026-04-27,N/A,[],N/A,Software/Tech
VanEck BNB ETF  (CIK 0002066824),2026-04-28,N/A,['DE'],N/A,Software/Tech
"Alamar Biosciences, Inc.  (ALMR)  (CIK 0002104204)",2026-04-13,N/A,['DE'],N/A,Software/Tech
"Exyn Technologies, Inc.  (EXYN)  (CIK 0001960355)",2026-04-14,N/A,['DE'],N/A,Software/Tech
Canary PEPE ETF  (CIK 0002109686),2026-04-08,N/A,['DE'],N/A,Software/Tech
Grayscale HYPE ETF  (GHYP)  (CIK 0002107730),2026-04-20,N/A,['DE'],N/A,Software/Tech
"HawkEye 360, Inc.  (CIK 0001750704)",2026-04-10,N/A,['DE'],N/A,Software/Tech
Cerebras Systems Inc.  (CIK 0002021728),2026-04-17,N/A,['DE'],N/A,Software/Tech
Grayscale BNB ETF  (GBNB)  (CIK 0002106762),2026-04-07,N/A,['DE'],N/A,Software/Tech
Bitwise Hyperliquid ETF  (CIK 0002088139),2026-04-10,N/A,['DE'],N/A,Software/Tech
"HawkEye 360, Inc.  (HAWK)  (CIK 0001750704)",2026-05-01,N/A,['DE'],N/A,Software/Tech
"VenHub Global, Inc.  (VHUB)  (CIK 0001972234)",2026-04-09,N/A,['DE'],N/A,Software/Tech
DUKE Robotics Corp.  (DUKR)  (CIK 0001638911),2026-04-27,N/A,['NV'],N/A,Software/Tech
T. Rowe Price Active Crypto ETF  (CIK 0002089855),2026-04-27,N/A,['DE'],N/A,Software/Tech
Encore Inc.  (CIK 0002089161),2026-04-10,N/A,['DE'],N/A,Software/Tech
"CID Holdco, Inc.  (DAIC, DAICW)  (CIK 0002033770)",2026-04-23,N/A,['DE'],N/A,Software/Tech
Cerebras Systems Inc.  (CBRS)  (CIK 0002021728),2026-05-04,N/A,['DE'],N/A,Software/Tech
"Onfolio Holdings, Inc  (ONFO, ONFOP, ONFOW)  (CIK 0001825452)",2026-04-09,N/A,['DE'],N/A,Software/Tech
"Bitcoin Depot Inc.  (BTM, BTMWW)  (CIK 0001901799)",2026-04-10,N/A,[],N/A,Software/Tech
AEVEX Corp.  (AVEX)  (CIK 0002096300),2026-04-09,N/A,['DE'],N/A,Software/Tech
"Mobia Medical, Inc.  (MOBI)  (CIK 0001489993)",2026-04-27,N/A,['DE'],N/A,Software/Tech
"Mobia Medical, Inc.  (CIK 0001489993)",2026-04-17,N/A,['DE'],N/A,Software/Tech
"OXO, Inc  (CIK 0002107170)",2026-04-28,N/A,['WY'],N/A,Software/Tech
"SmartKem, Inc.  (SMTK)  (CIK 0001817760)",2026-04-17,N/A,['DE'],N/A,Software/Tech
"SYNTEC OPTICS HOLDINGS, INC.  (OPTX, OPTXW)  (CIK 0001866816)",2026-04-27,N/A,['DE'],N/A,Software/Tech
RRE Ventures Acquisition Corp.  (CIK 0002123969),2026-04-07,N/A,['DE'],N/A,Software/Tech
"QumulusAI, Inc.  (QMLS)  (CIK 0002084026)",2026-05-01,N/A,['GA'],N/A,Software/Tech
RRE Ventures Acquisition Corp.  (RREV)  (CIK 0002123969),2026-04-27,N/A,['DE'],N/A,Software/Tech
"AMATUHI HOLDINGS, INC.  (AMTU)  (CIK 0002078570)",2026-04-17,N/A,['DE'],N/A,Software/Tech
"SHF Holdings, Inc.  (SHFS, SHFSW)  (CIK 0001854963)",2026-05-06,N/A,['DE'],N/A,Software/Tech
"First Breach, Inc.  (CIK 0001892704)",2026-04-30,N/A,['DE'],N/A,Software/Tech
"Pharmaceutical Resource Technology, Inc.  (CIK 0001865759)",2026-04-28,N/A,['WY'],N/A,Software/Tech
"C2 Capital Group, Inc.  (CCLV)  (CIK 0002027982)",2026-04-29,N/A,['NV'],N/A,Software/Tech
AIAI Holdings Corp  (AIAI)  (CIK 0002096362),2026-04-08,N/A,['DE'],N/A,Software/Tech
"C2 Capital Group, Inc.  (CIK 0002027982)",2026-04-10,N/A,['NV'],N/A,Software/Tech
"FreeCast, Inc.  (CAST)  (CIK 0001633369)",2026-04-17,N/A,['FL'],N/A,Software/Tech
BLACK UNICORN FACTORY  (CIK 0001822415),2026-05-06,N/A,['CA'],N/A,Software/Tech
"VisionWave Holdings, Inc.  (VWAV, VWAVW)  (CIK 0002038439)",2026-04-16,N/A,['DE'],N/A,Software/Tech
